ID,exam_num,text,valence,intensity,score
10001,2,"Ok. So when I first opened my chemistry exam score, I saw that I got a 69% and I was really upset by that. And I honestly thought I was a failure and that I was going to do terribly in the class and I had to change my major completely. But then I viewed that I got an 80 a couple of days later and it made me get a little bit more confident. And I was like, ok, like it's ok, but it's still not how I usually am as a student. So it's kind of discouraging me to be honest from in being a T A stem major. But I was by myself when I viewed it and I like, wanted to be by myself because I knew I like, didn't, I knew I was not going to do amazing on it because I like did not feel that prepared for it. But overall, I'm not like that upset about it, but I know I wanna do better on the next one.",0.5,0.6,0.3
10004,1,"Ok. So, basically I was getting home, I was in my car and then I had to log in so I stopped my car and I logged in, in order to see my grade. And, yeah, I saw, I got 100 and I was really happy. Um, I feel like the work paid off. Me just studying every day. And, yeah, now I'm studying for the next exam, which is in three days. Yeah.",1,0.8,0.8
10004,2,"I was expecting the worst, so I didn't know how I was gonna do, but I ended up doing really well and, yeah, I'm really happy that I did. Well.",1,0.8,0.8
10004,3,I was disappointed. I thought I did better. But then I realized that was a dumb mistake. That would never happen again. And that would be my job test for sure.,-1,0.6,-0.6
10004,4,"I felt good. It was more than I expected. Um I thought I got three multiple choice wrong, which were gonna be around 80% but somehow I got an 87.",1,0.7,0.7
10005,1,"So when I saw my first exam grade, I was in lab and we were just about to leave. Everybody was just kind of like getting up and going. I was with basically everybody else in the class, but I was looking at it just to buy myself. Um I wasn't showing anybody and I was super nervous. I was like really anxious um even to the point of like shaking. But once I like opened it, then I was like very relieved and I was not very nervous anymore.",0.5,0.7,0.35
10005,3,"When viewing the most recent chemistry exam, I was by myself at the cox building and it was right before, um, math, it was right before math class that I had. So I just sat down at a table by myself and opened it right before math. Um, I was feeling fine right beforehand. Pretty chill. But as I went to, like, open the store, I started getting really, really nervous. Um, and when I opened it, I felt a little bit more relieved. I think I definitely could have done better on the test. And that's kind of what I thought about in the moment, but I was relatively satisfied with it.",0.5,0.6,0.3
10006,1,"I opened my chemistry exam, um, the day the results were sent, I was at the Rats Keller alone, um, eating my lunch, but I was on the phone with my boyfriend and when I opened the score, um, I was kind of upset because I did really poorly but I did expect to because I didn't know what I was doing. Um, I was thinking about how I was gonna do better on the next test and how I'd build my way up from there because I got a really poor score and it also made me feel kind of sad but, you know, it was fine. But, yeah, I was eating my lunch and I was on the phone. Yeah.",-1,0.5,-0.5
10006,2,"When I opened the chem exam, I was at home alone um in my room and I was thinking that I was gonna do a lot better than I did. And then I was very upset and then I sat and cried and eventually I saw and accepted it, but I was really sad and I was alone when I opened it and I was expecting to do a lot better. But yeah.",-1,0.9,-0.9
10008,1,"So I was in the library and I was doing my biology homework, I believe, and I was already looking forward to the grade. And um, I was like, counting down and like, I was by myself and like, I had just been so drained from the day because it was later in the day and I had like, I had already done a lot of my studying and a lot of my work. So I was very drained. So I, once I received that text, like I felt like my heart drop and it was like, I knew I did good. But like, I was like, I was still scared for the grade because like, what if like something like, like, what if I just got my hopes up, you know? But like, I was confident, but like, even like when I was opening it, like, I was still like, I was so nervous, you know, and then I opened it and then I was very happy, like I was happy but like I realized I was like, oh, I thought I got higher but like, it was so good. Like I got on 93. But like, it was good and I was, and then, then, like, after that feeling surpassed, like, I was very happy with myself and I was, like, like, very happy that my work paid off. And, yeah. And then, like, I, I told my friends that I got that grade and, like, they were very happy and, like, I was very happy for that grade. Yeah.",0.5,0.7,0.35
